Data;22701 - Transações correntes - mensal - saldo - US$ (milhões)
11/2015;-3.863,9
12/2015;80,8
01/2016;-6.043,6
02/2016;-1.787,1
03/2016;-1.994,9
04/2016;-1.125,7
05/2016;839,5
06/2016;-3.180,6
07/2016;-4.409,7
08/2016;-1.478,7
09/2016;-1.816,0
10/2016;-3.657,9
11/2016;-878,5
12/2016;-4.995,6
01/2017;-6.993,4
02/2017;-539,1
03/2017;-124,3
04/2017;-1.055,4
05/2017;1.479,2
06/2017;-559,1
07/2017;-4.403,2
08/2017;-1.305,2
09/2017;-1.672,9
10/2017;-2.609,7
11/2017;-3.923,9
12/2017;-3.556,5
01/2018;-7.812,0
02/2018;-5.959,7
03/2018;-3.270,0
04/2018;-2.683,1
05/2018;-1.777,4
06/2018;-2.478,9
07/2018;-8.483,0
08/2018;-4.821,4
09/2018;-2.379,3
10/2018;-3.105,8
11/2018;-4.044,7
12/2018;-7.003,0
01/2019;-9.246,5
02/2019;-2.796,2
03/2019;-3.603,3
04/2019;-2.896,5
05/2019;-3.275,8
06/2019;-2.611,8
07/2019;-11.453,8
08/2019;-6.210,6
09/2019;-3.713,8
10/2019;-9.146,2
11/2019;-4.175,3
12/2019;-4.829,8
01/2020;-10.746,4
02/2020;-4.872,3
03/2020;-3.387,2
04/2020;2.177,3
05/2020;445,0
06/2020;3.078,3
07/2020;-377,3
08/2020;1.204,7
09/2020;36,4
10/2020;-1.151,9
11/2020;-2.411,6
12/2020;-8.218,3
01/2021;-8.218,7
02/2021;-4.009,8
03/2021;-8.168,9
04/2021;4.018,7
05/2021;2.835,9
06/2021;2.486,3
07/2021;-3.041,8
08/2021;-1.677,8
09/2021;-3.168,9
10/2021;-5.695,8
11/2021;-7.841,1
12/2021;-6.915,7
01/2022;-6.916,7
02/2022;-1.486,1
03/2022;-1.799,3
04/2022;1.669,6
05/2022;-3.451,9
06/2022;892,8
07/2022;-5.299,3
08/2022;-6.639,7
09/2022;-6.744,8
10/2022;-4.762,3
11/2022;-606,8
12/2022;-6.815,5
01/2023;-7.857,6
02/2023;-4.504,9
03/2023;-1.713,3
04/2023;-1.245,8
05/2023;270,7
06/2023;-1.389,7
07/2023;-3.237,5
08/2023;-585,1
09/2023;-1.167,3
10/2023;184,5
11/2023;-239,7
12/2023;-5.587,6
01/2024;-3.556,6
02/2024;-3.685,5
03/2024;-6.547,5
04/2024;-2.160,1
05/2024;-2.046,4
06/2024;-4.969,3
07/2024;-6.628,8
08/2024;-7.149,5
09/2024;-7.382,7
10/2024;-7.386,8
11/2024;-4.418,5
12/2024;-10.236,6
01/2025;-9.828,2
02/2025;-10.265,3
03/2025;-3.130,1
04/2025;-2.017,1
05/2025;-3.682,1
06/2025;-5.698,7
07/2025;-7.571,7
08/2025;-4.938,4
09/2025;-9.774,0
Fonte;BCB-DSTAT
